iter	Logloss
0	0.585389355
1	0.4857062758
2	0.4184069807
3	0.357416831
4	0.3121568388
5	0.279721295
6	0.2545069429
7	0.2327549427
8	0.2096234658
9	0.1913520876
10	0.1784302645
11	0.1710049576
12	0.1633257033
13	0.1568049842
14	0.152126394
15	0.1470989244
16	0.1425832001
17	0.1383723564
18	0.1350628235
19	0.1314945856
20	0.1288035107
21	0.1259625642
22	0.1241195819
23	0.1219450311
24	0.119877306
25	0.1178001578
26	0.1159978208
27	0.113964599
28	0.1124514525
29	0.1111537983
30	0.1094193132
31	0.1082489464
32	0.1066488545
33	0.1051350215
34	0.1033872468
35	0.1020154704
36	0.1011549846
37	0.09973043162
38	0.09843014058
39	0.09733083747
40	0.09540539713
41	0.09461791617
42	0.09365767395
43	0.09295116812
44	0.09214220248
45	0.09127452895
46	0.09034315717
47	0.08954071756
48	0.08891799474
49	0.08798455887
50	0.08688833317
51	0.08577822965
52	0.08492067808
53	0.08399601319
54	0.08312800056
55	0.08251742708
56	0.08191045312
57	0.08144980685
58	0.0805577127
59	0.07973629043
60	0.0792412285
61	0.07878613429
62	0.07817443688
63	0.07763613801
64	0.07718302506
65	0.07676425477
66	0.07624370484
67	0.07573302578
68	0.07494615202
69	0.07453980698
70	0.07415178265
71	0.07369273375
72	0.07332854407
73	0.07284192817
74	0.07242857024
75	0.0719085022
76	0.07148769487
77	0.07097984021
78	0.07056230331
79	0.06987790664
80	0.06950849163
81	0.06921016332
82	0.06864679658
83	0.06809364625
84	0.06741221269
85	0.06714152426
86	0.06665837702
87	0.06629745573
88	0.06590579119
89	0.06547578798
90	0.06504120172
91	0.06476644783
92	0.06451636713
93	0.06418827129
94	0.06399334977
95	0.06362421307
96	0.06340409836
97	0.06302290635
98	0.06267082561
99	0.06203888317
100	0.06166333985
101	0.06139935987
102	0.06081841973
103	0.0605889544
104	0.060277995
105	0.05991649482
106	0.05959349717
107	0.05928540083
108	0.05896100446
109	0.05842135309
110	0.05822091709
111	0.05775284817
112	0.05736471972
113	0.0571518262
114	0.05702223167
115	0.05665380127
116	0.05642152181
117	0.05605186412
118	0.05584734821
119	0.05548871534
120	0.05519081503
121	0.054947199
122	0.05470683247
123	0.05440671003
124	0.0540067705
125	0.05370190513
126	0.05347836104
127	0.05295179466
128	0.05265428179
129	0.0524192051
130	0.05223559402
131	0.05196981858
132	0.05155147834
133	0.05110285047
134	0.05084814105
135	0.05069562577
136	0.05040337306
137	0.05014093048
138	0.04993183101
139	0.04962071117
140	0.04944570802
141	0.04921547166
142	0.04891248817
143	0.04876761996
144	0.04839190244
145	0.0482402467
146	0.0480942161
147	0.0478124389
148	0.04765545838
149	0.0474336539
150	0.04726460302
151	0.04701707574
152	0.04667654911
153	0.04648430443
154	0.04632577691
155	0.04615440651
156	0.04575397216
157	0.0455095336
158	0.045243872
159	0.04488464721
160	0.04474065362
161	0.04455222984
162	0.04427541735
163	0.04413450052
164	0.04403692431
165	0.04383397568
166	0.04347090401
167	0.04332202762
168	0.04316108004
169	0.04307878624
170	0.0429095714
171	0.0426661498
172	0.04237654511
173	0.04221517107
174	0.04194065019
175	0.04173385166
176	0.04161443148
177	0.04146684097
178	0.0411758163
179	0.04104907157
180	0.0409216227
181	0.04067037725
182	0.04045343036
183	0.04018723097
184	0.04001199371
185	0.03979399419
186	0.03957263664
187	0.03944436663
188	0.03921919982
189	0.03893646378
190	0.03869760069
191	0.03846377988
192	0.03836325397
193	0.03823784695
194	0.03806420402
195	0.03786062858
196	0.03763691977
197	0.03746691505
198	0.0372557583
199	0.03700868331
200	0.03684585383
201	0.03672799284
202	0.03657760409
203	0.03641740556
204	0.03613744593
205	0.03597111588
206	0.03594824735
207	0.03588960384
208	0.03582787456
209	0.03569865943
210	0.03553019098
211	0.03541008393
212	0.03531250622
213	0.03505165129
214	0.03485751479
215	0.03477886413
216	0.0346300229
217	0.03448099202
218	0.03431491829
219	0.03418221189
220	0.03408345178
221	0.03398842699
222	0.0339054073
223	0.0336974352
224	0.03356006409
225	0.03338798468
226	0.03328588465
227	0.03317154031
228	0.03303732572
229	0.03282893816
230	0.0327122894
231	0.0326348382
232	0.03246126763
233	0.03239810734
234	0.03226673195
235	0.032164011
236	0.03208532385
237	0.03193432185
238	0.03179700848
239	0.03162872255
240	0.03151427908
241	0.03131972014
242	0.03112422247
243	0.03102519666
244	0.03101372507
245	0.0307941046
246	0.03067467231
247	0.03056654903
248	0.03051364501
249	0.03041838869
250	0.03034398232
251	0.03027654617
252	0.0301403113
253	0.02996833977
254	0.02982362187
255	0.02971737415
256	0.0295552851
257	0.02938998132
258	0.0293544081
259	0.02928309623
260	0.02916245779
261	0.02909231134
262	0.02896325776
263	0.0288067089
264	0.02864268387
265	0.02858042614
266	0.02849821918
267	0.02839219263
268	0.02830933259
269	0.02819999173
270	0.0280852293
271	0.02792836204
272	0.02789814829
273	0.02773569264
274	0.02763163543
275	0.02760939969
276	0.02749854985
277	0.02738438178
278	0.02727148013
279	0.02711965669
280	0.02707887177
281	0.02701757853
282	0.02697533466
283	0.02687202533
284	0.02680567687
285	0.02669249319
286	0.02658329408
287	0.02653851523
288	0.02638700053
289	0.02630110235
290	0.02621987546
291	0.02608705588
292	0.02593267745
293	0.02587337321
294	0.02579460536
295	0.02571061269
296	0.02561658089
297	0.02556812138
298	0.02546209799
299	0.02536311984
